Loại,Giai đoạn,Số thứ tự,Hạng mục,Hiện trạng,Công việc cần làm,Ưu tiên,Ước lượng,Tiêu chí hoàn thành
Hạng mục,Sprint 0,1,Ổn định Prisma,"Prisma generate có thể lỗi EPERM do query engine bị khóa; generator chưa khai báo output","Dừng process giữ engine; chạy prisma validate/generate; chuẩn bị output path tương thích Prisma 7",P0,0.5 ngày,"prisma validate và prisma generate chạy ổn định"
Hạng mục,Sprint 0,2,Sửa TypeScript build,"tsc còn 12 lỗi tại auth, slot, option và service package","Sửa type/schema mismatch; cập nhật hoặc loại bỏ auth model cũ",P0,1-2 ngày,"npm run build không còn lỗi"
Hạng mục,Sprint 0,3,Làm sạch source/build,"dist bị thay đổi khi chạy watcher và đang xuất hiện trong worktree","Quyết định build artifact hay build khi deploy; khuyến nghị bỏ dist khỏi Git",P0,0.5 ngày,"Source tree sạch và build tái tạo được"
Hạng mục,Sprint 0,4,Chuẩn hóa encoding,"Một số message tiếng Việt bị lỗi ký tự","Chuyển source sang UTF-8 và sửa message lỗi",P1,0.5 ngày,"API trả tiếng Việt đúng encoding"
Hạng mục,Sprint 1,5,Global error handler,"Có ApiError nhưng chưa thấy middleware xử lý lỗi cuối pipeline","Thêm notFoundHandler/errorHandler; chuẩn hóa status và ẩn stack production",P0,1 ngày,"Mọi lỗi trả cùng JSON contract và đúng HTTP status"
Hạng mục,Sprint 1,6,Response contract,"Controller trả nhiều cấu trúc response","Chuẩn hóa data/message/meta và pagination",P1,1-2 ngày,"Frontend xử lý một kiểu response"
Hạng mục,Sprint 1,7,Validation,"Có Zod nhưng cách gọi middleware chưa đồng nhất","Chuẩn hóa validate params/query/body/ObjectId/date range/pagination",P0,1-2 ngày,"Request sai trả 400/422 có field errors"
Hạng mục,Sprint 1,8,API versioning,"Endpoint trực tiếp dưới /api/shops","Chuyển dần sang /api/v1; giữ alias cũ trong giai đoạn migration",P2,1 ngày,"Có chiến lược nâng API không phá frontend"
Hạng mục,Sprint 1,9,OpenAPI/Swagger,"README gần như trống; chưa có tài liệu API chính thức","Viết OpenAPI cho auth, shop, staff, attendance, payroll và booking",P1,2-3 ngày,"Frontend có tài liệu và example chạy thử"
Hạng mục,Sprint 1,10,RBAC/permission matrix,"Đang kiểm tra chủ yếu theo cấp role STAFF/MANAGER/OWNER","Tạo matrix theo hành động; thống nhất MANAGER trong DB với ADMIN trong contract",P0,2 ngày,"Test role không vượt quyền"
Hạng mục,Sprint 1,11,AuditLog nền tảng,"Audit mới chủ yếu ở attendance và payroll","Audit shop settings, staff, schedule, off-day, appointment, payment, promotion",P1,2-3 ngày,"Mutation nhạy cảm lưu actor/before/after/resource"
