Method,Endpoint,Handler,Controller File,Response
GET,/test/cron,inline,src/app.ts,res.json({ success: true })
GET,/auth/google,googleLoginController,src/controller/googleOauth.controller.ts,
GET,/auth/google/callback,googleCallbackController,src/controller/googleOauth.controller.ts,"res.status(400).json({ message: 'Invalid State', error });"
POST,/auth/register,registerWithEmailController,src/controller/auth.controller.ts,"res.status(201).json({ success: true, message: 'User register success', data: user, });"
POST,/auth/login,loginWithEmailController,src/controller/auth.controller.ts,
POST,/auth/logout,logoutController,src/controller/auth.controller.ts,res.json({ message: 'Đăng xuất thành công' });
GET,/auth/me,getMeController,src/controller/auth.controller.ts,"res.json({ success: true, data: user });"
POST,/auth/token/refresh,refresthTokenController,src/controller/auth.controller.ts,
POST,/auth/email/verify,verifyEmailController,src/controller/auth.controller.ts,"res.status(200).json({ success: true, ...result });"
POST,/auth/email/verification/resend,reSendEmailVerifyController,src/controller/auth.controller.ts,res.status(200).json('Email Verification Send Success');
POST,/api/shops/,createShopController,src/controller/shop/shop.controller.ts,"res.status(201).json({ success: true, data: shop });"
GET,/api/shops/,getListShopController,src/controller/shop/shop.controller.ts,"res.status(200).json({ success: true, data: shops });"
GET,/api/shops/:shopSlug,getShopDetailController,src/controller/shop/shop.controller.ts,"res.status(200).json({ success: true, data: req.shop });"
PATCH,/api/shops/:shopSlug,updateShopController,src/controller/shop/shop.controller.ts,"res.status(200).json({ success: true, data: shop });"
PATCH,/api/shops/:shopSlug/logo,uploadShopLogoController,src/controller/shop/shop.controller.ts,"res.status(200).json({ success: true, data: shop });"
PATCH,/api/shops/:shopSlug/banner,uploadShopBannerController,src/controller/shop/shop.controller.ts,"res.status(200).json({ success: true, data: shop });"
GET,/api/shops/:shopSlug/staff/,getStaffListByShopController,src/controller/staff/staff.controller.ts,"res.status(200).json({ success: true, data: staffList });"
POST,/api/shops/:shopSlug/staff/invite,inviteStaffController,src/controller/staff/staff.controller.ts,"res.status(200).json({ success: true, data: result });"
POST,/api/shops/:shopSlug/staff/invite/accept,acceptInviteController,src/controller/staff/staff.controller.ts,"res.status(200).json({ success: true, data: result });"
PATCH,/api/shops/:shopSlug/staff/:staffId/info,updateStaffInfoController,src/controller/staff/staff.controller.ts,"res.status(200).json({ success: true, data: updatedStaff });"
PUT,/api/shops/:shopSlug/staff/:staffId/schedule,updateStaffScheduleController,src/controller/staff/staff.controller.ts,"res.status(200).json({ success: true, data: updatedSchedule });"
POST,/api/shops/:shopSlug/staff/:staffId/off-days,requestOffDayController,src/controller/staff/offDay.controller.ts,"res.status(201).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/staff/off-days,getListOffDayController,src/controller/staff/offDay.controller.ts,"res.status(200).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/staff/off-days/:offDayId,getDetailDayOffController,src/controller/staff/offDay.controller.ts,"res.status(200).json({ success: true, data: result });"
PATCH,/api/shops/:shopSlug/staff/off-days/:offDayId,responseOffDayController,src/controller/staff/offDay.controller.ts,"res.status(201).json({ success: true, data: result });"
